DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISÃO,SUBDIVISÕES,MUNICÍPIO,ESTADO
53090060Rua Trinta,53090060,Rua Trinta,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090070Rua Quarenta,53090070,Rua Quarenta,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090080Rua Quarenta e Três,53090080,Rua Quarenta e Três,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090093Rua Um,53090093,Rua Um,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090095Rua Trinta e Oito,53090095,Rua Trinta e Oito,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090097Rua Trinta e Nove,53090097,Rua Trinta e Nove,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090100Rua Trinta e Cinco,53090100,Rua Trinta e Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090107Avenida Brasil,53090107,Avenida Brasil,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090110Rua Quarenta e Um,53090110,Rua Quarenta e Um,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090120Rua Quarenta e Cinco,53090120,Rua Quarenta e Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090125Rua Professora Gilmara Tadeuza,53090125,Rua Professora Gilmara Tadeuza,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090130Rua Trinta e Dois,53090130,Rua Trinta e Dois,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090140Rua Trinta e Três,53090140,Rua Trinta e Três,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090145Rua Trinta e Quatro,53090145,Rua Trinta e Quatro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090155Rua Quarenta e Quatro,53090155,Rua Quarenta e Quatro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090160Rua Vinte e Quatro,53090160,Rua Vinte e Quatro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090170Rua Vinte e Cinco,53090170,Rua Vinte e Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090180Rua Vinte e Dois,53090180,Rua Vinte e Dois,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090185Rua Quarenta e Seis,53090185,Rua Quarenta e Seis,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090190Rua Vinte e Três,53090190,Rua Vinte e Três,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090200Rua Nove,53090200,Rua Nove,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090210Avenida Colibri,53090210,Avenida Colibri,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090220Rua Vinte e Nove,53090220,Rua Vinte e Nove,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090230Rua Vinte e Sete,53090230,Rua Vinte e Sete,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090240Rua Vinte e Um,53090240,Rua Vinte e Um,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090250Rua Dezessete,53090250,Rua Dezessete,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090260Rua Quatorze,53090260,Rua Quatorze,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090270Rua Onze,53090270,Rua Onze,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090280Rua Quinze,53090280,Rua Quinze,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090290Rua Oito,53090290,Rua Oito,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090300Rua Sete,53090300,Rua Sete,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090310Rua Seis,53090310,Rua Seis,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090320Rua Quarenta e Sete,53090320,Rua Quarenta e Sete,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090330Rua Quatro,53090330,Rua Quatro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090340Rua Três,53090340,Rua Três,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090350Rua Dois,53090350,Rua Dois,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090355Rua Cinco,53090355,Rua Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090360Rua Cinqüenta e Dois,53090360,Rua Cinqüenta e Dois,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090380Rua Setenta e Três,53090380,Rua Setenta e Três,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090390Rua Sessenta,53090390,Rua Sessenta,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090393Rua Sessenta e Três,53090393,Rua Sessenta e Três,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090400Rua Sessenta e Seis,53090400,Rua Sessenta e Seis,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090420Rua Doze,53090420,Rua Doze,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090430Rua Cinquenta e Um,53090430,Rua Cinquenta e Um,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090433Rua São Luiz,53090433,Rua São Luiz,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090435Rua São Pedro,53090435,Rua São Pedro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090440Rua Cinquenta e Cinco,53090440,Rua Cinquenta e Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090450Rua Cinquenta e Nove,53090450,Rua Cinquenta e Nove,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090455Rua Sessenta e Dois,53090455,Rua Sessenta e Dois,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090460Rua Setenta e Cinco,53090460,Rua Setenta e Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090470Rua Setenta e Dois,53090470,Rua Setenta e Dois,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090480Rua Setenta e Quatro,53090480,Rua Setenta e Quatro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090490Rua Setenta e Um,53090490,Rua Setenta e Um,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090500Rua Setenta,53090500,Rua Setenta,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090503Rua Vina Del Mar,53090503,Rua Vina Del Mar,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090505Rua Paula Pedrosa,53090505,Rua Paula Pedrosa,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090510Rua Setenta e Seis,53090510,Rua Setenta e Seis,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090520Rua Setenta e Sete,53090520,Rua Setenta e Sete,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090530Rua Setenta e Oito,53090530,Rua Setenta e Oito,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090540Rua Setenta e Nove,53090540,Rua Setenta e Nove,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090550Rua Oitenta,53090550,Rua Oitenta,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090560Rua Oitenta e Dois,53090560,Rua Oitenta e Dois,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090580Rua Sessenta e Oito,53090580,Rua Sessenta e Oito,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090590Rua Oitenta e Quatro,53090590,Rua Oitenta e Quatro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090600Rua Oitenta e Sete,53090600,Rua Oitenta e Sete,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090610Rua Edgar de Sagres Barros,53090610,Rua Edgar de Sagres Barros,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090620Rua Jarbas Bastos da Fonseca,53090620,Rua Jarbas Bastos da Fonseca,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090640Travessa Sítio das Quintas,53090640,Travessa Sítio das Quintas,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090650Rua Trinta e Seis,53090650,Rua Trinta e Seis,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090660Rua Lauro Monteiro,53090660,Rua Lauro Monteiro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090678Rua Sebastião Pereira,53090678,Rua Sebastião Pereira,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090820Rua Pôr do Sol,53090820,Rua Pôr do Sol,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150000Avenida Coronel Frederico Lundgren,53150000,Avenida Coronel Frederico Lundgren,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150001Praça Coronel Frederico Lundgren,53150001,Praça Coronel Frederico Lundgren,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150005Rua Clidio de Lima Nigro,53150005,Rua Clidio de Lima Nigro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150010Rua Ayrton Senna,53150010,Rua Ayrton Senna,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150011Travessa Leão,53150011,Travessa Leão,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150020Rua Estudante Cláudio Uchôa Cavalcanti Filho,53150020,Rua Estudante Cláudio Uchôa Cavalcanti Filho,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150030Rua Levino Ferreira,53150030,Rua Levino Ferreira,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150040Rua Estudante Luís Brayner Andrade Filho,53150040,Rua Estudante Luís Brayner Andrade Filho,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150045Rua Nildo Francisco Aguiar,53150045,Rua Nildo Francisco Aguiar,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150050Rua C-1,53150050,Rua C-1,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150055Rua C-2,53150055,Rua C-2,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150060Rua Maria do Carmo Vieira,53150060,Rua Maria do Carmo Vieira,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150070Rua Gilberto C. de Carvalho,53150070,Rua Gilberto C. de Carvalho,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150080Rua C-4,53150080,Rua C-4,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150081Rua Euzébio de França,53150081,Rua Euzébio de França,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150100Rua C-6,53150100,Rua C-6,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150110Rua C-7,53150110,Rua C-7,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150120Rua A-5,53150120,Rua A-5,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150130Rua Maria da Conceição Tavares,53150130,Rua Maria da Conceição Tavares,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150140Rua Estudante Ana Lúcia Barreto Brayner,53150140,Rua Estudante Ana Lúcia Barreto Brayner,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150151Rua Iritiano José dos Santos,53150151,Rua Iritiano José dos Santos,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150160Rua Maestro Nelson Ferreira,53150160,Rua Maestro Nelson Ferreira,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150180Rua A-12,53150180,Rua A-12,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150190Rua Artur Gusmão,53150190,Rua Artur Gusmão,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150191Rua Artur da Costa Azevedo,53150191,Rua Artur da Costa Azevedo,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150192Rua Artur Mendonça de Gusmão Vasconcelos,53150192,Rua Artur Mendonça de Gusmão Vasconcelos,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150200Rua A-14,53150200,Rua A-14,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150210Rua Breno Assis da Silva,53150210,Rua Breno Assis da Silva,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150220Rua Benjamim de Aguiar Machado,53150220,Rua Benjamim de Aguiar Machado,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150230Rua A-17,53150230,Rua A-17,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150250Rua Bacharel José Mário de Oliveira,53150250,Rua Bacharel José Mário de Oliveira,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150260Rua Américo Bezerra Cavalcante,53150260,Rua Américo Bezerra Cavalcante,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150270Rua Joaquim Serafim Monteiro,53150270,Rua Joaquim Serafim Monteiro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150275Rua Beira Rio,53150275,Rua Beira Rio,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150300Rua Estudante Carlos Alberto Cavalcanti de Oliveira,53150300,Rua Estudante Carlos Alberto Cavalcanti de Oliveira,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150310Rua Severino Antônio de Santana,53150310,Rua Severino Antônio de Santana,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150311Rua Luís Jacinto da Silva,53150311,Rua Luís Jacinto da Silva,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150325Rua Antônio Joaquim da Silva,53150325,Rua Antônio Joaquim da Silva,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150330Rua das Angélicas,53150330,Rua das Angélicas,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150331Rua B-6,53150331,Rua B-6,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150332Rua Brigadeiro Eduardo Gomes,53150332,Rua Brigadeiro Eduardo Gomes,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150335Rua Sete,53150335,Rua Sete,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150340Rua Valdemar Ferreira Pinto,53150340,Rua Valdemar Ferreira Pinto,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150345Rua Vereadora Eliete Leite,53150345,Rua Vereadora Eliete Leite,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150350Rua B-12,53150350,Rua B-12,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150360Rua Eugênio Leopoldino de Araújo Corrêa,53150360,Rua Eugênio Leopoldino de Araújo Corrêa,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150390Rua B-17,53150390,Rua B-17,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150400Rua B-18,53150400,Rua B-18,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150410Rua Engenheiro José de Lima,53150410,Rua Engenheiro José de Lima,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150421Rua Maria Ferreira Albert,53150421,Rua Maria Ferreira Albert,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150430Rua das Dálias,53150430,Rua das Dálias,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150431Rua B-16,53150431,Rua B-16,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150435Rua Maria do Carmo do Nascimento Arruda,53150435,Rua Maria do Carmo do Nascimento Arruda,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150440Rua do Chorão,53150440,Rua do Chorão,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150450Rua do Curió,53150450,Rua do Curió,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150460Rua Corrupião,53150460,Rua Corrupião,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150470Avenida Brasil,53150470,Avenida Brasil,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150500Rua Fenelon Ático Leite,53150500,Rua Fenelon Ático Leite,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150511Praça do Mercado,53150511,Praça do Mercado,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150530Rua AB-2,53150530,Rua AB-2,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150540Rua Curiango,53150540,Rua Curiango,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150550Rua Canário,53150550,Rua Canário,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150560Rua Andorinhas do Mar,53150560,Rua Andorinhas do Mar,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150570Rua das Gardênias,53150570,Rua das Gardênias,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150590Avenida Jules Rimet,53150590,Avenida Jules Rimet,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150600Rua das Margaridas,53150600,Rua das Margaridas,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150610Rua Maria Teresa,53150610,Rua Maria Teresa,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150620Rua Novo Horizonte,53150620,Rua Novo Horizonte,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150640Rua Oriente,53150640,Rua Oriente,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150650Rua Padre Cícero Romão,53150650,Rua Padre Cícero Romão,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150660Rua Penedo,53150660,Rua Penedo,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150665Rua Araponga,53150665,Rua Araponga,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150670Rua Sangue-de-boi,53150670,Rua Sangue-de-boi,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150680Rua Sargento Eduardo Luiz de França,53150680,Rua Sargento Eduardo Luiz de França,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150700Rua das Tulipas,53150700,Rua das Tulipas,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150720Rua das Verbenas,53150720,Rua das Verbenas,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
530504063ª Travessa do Progresso,53050406,3ª Travessa do Progresso,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53070060Rua das Camélias,53070060,Rua das Camélias,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53070630Rua Manoel Barbosa dos Santos,53070630,Rua Manoel Barbosa dos Santos,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080121Rua Trinta e Cinco-A,53080121,Rua Trinta e Cinco-A,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080340Rua Amália Bernardino de Sousa,53080340,Rua Amália Bernardino de Sousa,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080350Rua Assunção de Maria,53080350,Rua Assunção de Maria,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080720Rua Quarenta e Oito,53080720,Rua Quarenta e Oito,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080849Rua Guido de Souza,53080849,Rua Guido de Souza,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090507Rua Pedro Eurico,53090507,Rua Pedro Eurico,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150170Rua A-9,53150170,Rua A-9,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150280Rua Fausto Lima do Nascimento,53150280,Rua Fausto Lima do Nascimento,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53150580Rua do Girassol,53150580,Rua do Girassol,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080065Rua Onze,53080065,Rua Onze,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080085Rua Trinta,53080085,Rua Trinta,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080715Rua Quarenta e Cinco,53080715,Rua Quarenta e Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080745Rua Quarenta e Três,53080745,Rua Quarenta e Três,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53090595Rua Sessenta e Cinco,53090595,Rua Sessenta e Cinco,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53070650Rua Belo Jardim,53070650,Rua Belo Jardim,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53080625Rua Sessenta e Nove,53080625,Rua Sessenta e Nove,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
531500094ª Travessa Clidio de Lima Nigro,53150009,4ª Travessa Clidio de Lima Nigro,Rio Doce,Região Político-Administrativa,RPA 10,Olinda,Pernambuco
53110090Rua Sabatina,53110090,Rua Sabatina,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110100Rua Grécia,53110100,Rua Grécia,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110110Avenida Professor Andrade Bezerra,53110110,Avenida Professor Andrade Bezerra,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
531101112ª Travessa Professor Andrade Bezerra,53110111,2ª Travessa Professor Andrade Bezerra,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
531101124ª Paralela Professor Andrade Bezerra,53110112,4ª Paralela Professor Andrade Bezerra,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
531101133ª Travessa Professor Andrade Bezerra,53110113,3ª Travessa Professor Andrade Bezerra,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110117Rua Maria Luiza,53110117,Rua Maria Luiza,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110120Rua Professor João Fernandes Soares,53110120,Rua Professor João Fernandes Soares,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110130Rua Coronel Antônio Carlos Ferreira,53110130,Rua Coronel Antônio Carlos Ferreira,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110140Rua Doutor Luís Gonçalves,53110140,Rua Doutor Luís Gonçalves,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110160Rua Doutor João Alves Pereira Lira,53110160,Rua Doutor João Alves Pereira Lira,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110180Travessa Professor Alberto Lemos,53110180,Travessa Professor Alberto Lemos,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110190Rua Antônio Menezes,53110190,Rua Antônio Menezes,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110200Rua Adolfo de Souza Leão Faro,53110200,Rua Adolfo de Souza Leão Faro,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110210Rua Desembargador José Vaz,53110210,Rua Desembargador José Vaz,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110220Rua Doutor Arnaldo Machado,53110220,Rua Doutor Arnaldo Machado,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110230Travessa Olímpio Bonald,53110230,Travessa Olímpio Bonald,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110240Rua Desembargador Abdias de Oliveira,53110240,Rua Desembargador Abdias de Oliveira,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110250Rua Professor Miguel Nunes Viana,53110250,Rua Professor Miguel Nunes Viana,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110280Rua das Salinas,53110280,Rua das Salinas,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110310Rua Altinho,53110310,Rua Altinho,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110390Rua Soldado Mário Koisel Filho,53110390,Rua Soldado Mário Koisel Filho,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110400Rua Cachoeirinha,53110400,Rua Cachoeirinha,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110410Rua São Luís,53110410,Rua São Luís,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110411Travessa São Luís,53110411,Travessa São Luís,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110420Rua do Cacimbão,53110420,Rua do Cacimbão,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110421Travessa do Cacimbão,53110421,Travessa do Cacimbão,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
531104221ª Travessa do Cacimbão,53110422,1ª Travessa do Cacimbão,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
531104232ª Travessa do Cacimbão,53110423,2ª Travessa do Cacimbão,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110430Rua Professor José de Barros Lins,53110430,Rua Professor José de Barros Lins,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110431Travessa Professor José de Barros Lins,53110431,Travessa Professor José de Barros Lins,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110440Rua da Alegria,53110440,Rua da Alegria,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
531104411ª Travessa da Alegria,53110441,1ª Travessa da Alegria,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
531104422ª Travessa da Alegria,53110442,2ª Travessa da Alegria,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110450Rua Osório de Morais,53110450,Rua Osório de Morais,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
53110455Rua Alfredo Cavalcante,53110455,Rua Alfredo Cavalcante,Salgadinho,Região Político-Administrativa,RPA 3,Olinda,Pernambuco
